StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,QID1718085942,QID64,QID66,QID69,QID65,QID67,QID68,QID14,QID20,QID22,QID34,QID35,QID36,QID28,QID38,QID39,QID73,QID74,QID75,QID41,QID42,QID43,QID44,QID45,QID47,QID46,QID52,QID51,QID50,QID49,QID53,QID55,QID54,QID56,QID58,QID 59,,,
2024-09-03 12:57:55,2024-09-03 13:02:32,100,276,TRUE,2024-09-03 13:02:32,38.9091,-77.0203,anonymous,EN,1,"I consent, begin the study",21,Female,76110,Several times per year,Single family stand alone home,3-4,I view them as equally important,Activity health benefits are a little more important,Activity health benefits are a little more important,Air and water filtration are a little more important,Increase in biodiversity is a little more important,Heat island reduction is a little more important,Increased foot traffic is a little more important,Increased foot traffic is a little more important,Community gathering spaces are a little more important,Personal benefits are a little more important,Ecological benefits are a little more important,Personal benefits are a little more important,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,Strongly agree,Strongly disagree,Strongly agree,Mildly disagree,Strongly agree,Mildly disagree,Mildly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,,A,,,
2024-09-05 13:29:50,2024-09-05 13:35:14,100,323,TRUE,2024-09-05 13:35:14,38.9091,-77.0203,anonymous,EN,1,"I consent, begin the study",,Female,20001,Almost never,Apartment complex,3-4,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,N/A,A,,,
2024-09-05 14:00:41,2024-09-05 14:04:48,100,246,TRUE,2024-09-05 14:04:48,38.9091,-77.0203,anonymous,EN,1,"I consent, begin the study",20,Female,11692,Almost never,Apartment complex,3-4,I view them as equally important,Activity health benefits are a little more important,Mental health benefits are much more important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Strongly disagree,Mildly agree,Unsure,Unsure,Mildly agree,Strongly agree,Unsure,Mildly agree,Mildly disagree,Unsure,Mildly disagree,Mildly agree,Strongly agree,Mildly disagree,Mildly agree,no,A,,,
2024-09-05 14:07:39,2024-09-05 14:13:25,100,346,TRUE,2024-09-05 14:13:26,40.0558,-75.0773,anonymous,EN,1,"I consent, begin the study",,,,,Single family stand alone home,1-2,I view them as equally important,Recreation space benefits are a little more important,Mental health benefits are a little more important,,,Heat island reduction is much more important,Increased foot traffic is a little more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,Personal benefits are a little more important,I view them as equally important,I view them as equally important,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Unsure,Mildly disagree,Mildly disagree,Mildly disagree,Mildly agree,Mildly disagree,Mildly disagree,Unsure,Mildly disagree,Mildly agree,Mildly disagree,,A,,,
2024-09-05 14:08:29,2024-09-05 14:16:14,100,464,TRUE,2024-09-05 14:16:14,38.9091,-77.0203,anonymous,EN,0.899999976,"I consent, begin the study",23,Male,20009,Several times per month,Apartment complex,1-2,I view them as equally important,I view them as equally important1,I view them as equally important,I view them as equally important,Air and water filtration are a little more important,I view them as equally important,Increased home prices are a little more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,Personal benefits are a little more important,Economic/social benefits are a little more important,I view them as equally important,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Mildly disagree,Mildly agree,Strongly disagree,Mildly agree,Mildly disagree,Mildly agree,Strongly disagree,Strongly agree,,A,,,
2024-09-05 14:12:17,2024-09-05 14:18:10,100,352,TRUE,2024-09-05 14:18:10,39.0005,-76.9712,anonymous,EN,1,"I consent, begin the study",26,Other,20001,Several times per week,Apartment complex,1-2,I view them as equally important,Recreation space benefits are a little more important,Mental health benefits are a little more important,Heat island reduction is a little more important,Increase in biodiversity is much more important,Increase in biodiversity is a little more important,Increased foot traffic is a little more important,Community gathering spaces are much more important,Community gathering spaces are much more important,I view them as equally important,Ecological benefits are a little more important,Personal benefits are a little more important,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly disagree,Mildly disagree,Strongly disagree,Mildly agree,Unsure,Strongly agree,,A,,,
2024-09-09 13:32:20,2024-09-09 13:40:21,100,481,TRUE,2024-09-09 13:40:22,39.0115,-76.969,anonymous,EN,1,"I consent, begin the study",29,Male,20001,Several times per week,Apartment complex,1-2,Mental health benefits are a little more important,Recreation space benefits are much more important,Mental health benefits are a little more important,Heat island reduction is much more important,Increase in biodiversity is much more important,I view them as equally important,Increased home prices are a little more important,Community gathering spaces are much more important,Community gathering spaces are much more important,I view them as equally important,Ecological benefits are a little more important,I view them as equally important,Strongly disagree,Mildly agree,Strongly agree,Mildly disagree,Strongly agree,Mildly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Mildly disagree,Strongly disagree,Mildly agree,Strongly disagree,Strongly agree,go earth woo!,A,,,
2024-09-09 13:44:25,2024-09-09 13:50:26,100,360,TRUE,2024-09-09 13:50:26,38.9091,-77.0203,anonymous,EN,0.699999988,"I consent, begin the study",29,Male,20001,Several times per week,Apartment complex,1-2,Mental health benefits are a little more important,Activity health benefits are a little more important,Mental health benefits are a little more important,Air and water filtration are a little more important,Air and water filtration are a little more important,Heat island reduction is a little more important,Increased home prices are a little more important,Increased foot traffic is a little more important,Increased home prices are a little more important,Personal benefits are a little more important,Economic/social benefits are a little more important,Personal benefits are a little more important,Strongly agree,Mildly disagree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Mildly agree,Mildly disagree,Mildly agree,Unsure,Mildly agree,,A,,,
2024-09-09 13:54:00,2024-09-09 14:01:00,100,420,TRUE,2024-09-09 14:01:01,39.0115,-76.969,anonymous,EN,1,"I consent, begin the study",20,Male,76151,Several times per month,Single family stand alone home,3-4,Mental health benefits are a little more important,I view them as equally important,Mental health benefits are much more important,Air and water filtration are a little more important,Increase in biodiversity is much more important,Increase in biodiversity is much more important,Increased foot traffic is much more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,Ecological benefits much more important,I view them as equally important,I view them as equally important,Unsure,Mildly disagree,Strongly agree,Strongly disagree,Mildly agree,Mildly disagree,Strongly agree,Unsure,Strongly agree,Mildly disagree,Strongly agree,Strongly disagree,Unsure,Mildly agree,Strongly agree,,A,,,
2024-09-09 14:29:16,2024-09-09 14:32:54,100,218,TRUE,2024-09-09 14:32:55,38.8892,-76.9417,anonymous,EN,1,"I consent, begin the study",65,Male,32901,Several times per week,Other,1-2,Mental health benefits are a little more important,Activity health benefits are a little more important,Mental health benefits are a little more important,Air and water filtration are a little more important,Air and water filtration are a little more important,I view them as equally important,Increased foot traffic is a little more important,I view them as equally important,Community gathering spaces are a little more important,Personal benefits are much more important,I view them as equally important,Personal benefits are much more important,Unsure,Mildly disagree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,Mildly disagree,Mildly disagree,Mildly agree,Mildly agree,Mildly agree,Paper survey from Statue Park data between 2:30-3:00pm,A,,,
